@id,rdf:type{URIRef},rdfs:comment{Literal},rdfs:label{Literal}
survol:CIM_PCMCIAController,rdfs:Class,Capabilities and management  of a PCMCIA controller.,CIM_PCMCIAController
survol:CIM_PCVideoController,rdfs:Class,"Capabilities and management of a PC video controller, a subtype of video controller.",CIM_PCVideoController
survol:CIM_ParallelController,rdfs:Class,Capabilities and management of the parallel port logical device,CIM_ParallelController
survol:CIM_PhysicalCapacity,rdfs:Class,"CIM_PhysicalCapacity is an abstract class describing a physical element's minimum/maximum requirements and ability to support different types of hardware. For example, minimum and maximum memory requirements can be modeled as a subclass of CIM_PhysicalCapacity.",CIM_PhysicalCapacity
survol:CIM_PhysicalComponent,rdfs:Class,"The CIM_PhysicalComponent class represents any low-level or basic component within a package. Any physical element that is not a link, connector, or package is a descendent (or member) of this class. For example, the UART chipset on an internal modem card would be a subclass (if additional properties or associations are defined) or an instance of CIM_PhysicalComponent.",CIM_PhysicalComponent
survol:CIM_PhysicalConnector,rdfs:Class,"The CIM_PhysicalConnector class represents any physical element that is used to connect to other elements. Any object that can be used to connect and transmit signals or power between two or more physical elements is a descendant (or member) of this class. For example, slots and D-shell connectors are types of physical connectors.",CIM_PhysicalConnector
survol:CIM_PhysicalElement,rdfs:Class,"Subclasses of CIM_PhysicalElement define any component of a system that has a distinct physical identity. Instances of this class can be defined in terms of labels that can be physically attached to the object. All processes, files, and logical devices are considered not to be physical elements. For example, it is not possible to attach a label to a modem. It is only possible to attach a label to the card that implements the modem. The same card could also implement a LAN  adapter. These are tangible managed system elements (usually actual hardware items) that have a physical manifestation of some sort. A managed system element is not necessarily a discrete component. For example, it is possible for a single card (which is a type of physical element) to host more than one logical device. The card would be represented by a single physical element associated with multiple logical devices.",CIM_PhysicalElement
survol:CIM_PhysicalExtent,rdfs:Class,"A PhysicalExtent is used to model an SCC RAID implementation. It defines the consecutive addressable block addresses on a single storage device, that are treated as a single StorageExtent and that are in the same StorageRedundancyGroup. An alternate possibility, if automatic configuration is used, is to instantiate or extend the AggregatePExtent class.",CIM_PhysicalExtent
survol:CIM_PhysicalFrame,rdfs:Class,"CIM_PhysicalFrame is a superclass of rack, chassis and other frame enclosures, as they are defined in extension classes. Properties like visible or audible alarm, and data related to security breaches are in this superclass.",CIM_PhysicalFrame
survol:CIM_PhysicalLink,rdfs:Class,"The CIM_PhysicalLink class represents the cabling of physical elements together. For example, serial or Ethernet cables, and infrared Links would be subclasses (if additional properties or associations are defined) or instances of CIM_PhysicalLink. In many cases, the numerous physical cables within a physical package or network will not be modeled. However, where these cables or links are critical components, or are tagged assets of the company, these objects can be instantiated using this class or one of its descendent classes.",CIM_PhysicalLink
survol:CIM_PhysicalMedia,rdfs:Class,"The CIM_PhysicalMedia class represents any type of documentation or storage medium, such as tapes, CD ROMs, etc. This class is typically used to locate and manage removable media (versus media sealed with the media access device, as a single package, as is the case with hard disks). However, 'sealed' media can also be modeled using this class, where the media would then be associated with the physical package using the CIM_PackagedComponent relationship.",CIM_PhysicalMedia
survol:CIM_PhysicalMemory,rdfs:Class,"CIM_PhysicalMemory is a subclass of CIM_Chip, representing low level memory devices - SIMMS, DIMMs, raw memory chips, etc.",CIM_PhysicalMemory
survol:CIM_PhysicalPackage,rdfs:Class,The CIM_PhysicalPackage class represents physical elements that contain or host other components. Examples are a rack enclosure or an adapter card.,CIM_PhysicalPackage
survol:CIM_PointingDevice,rdfs:Class,"The CIM_PointingDevice class represents a device used to point to regions on the display. Membership criteria: Any device used to manipulate a pointer or point to regions on a visual display is a member of this class. Example: A mouse, stylus, touch pad, or tablet.",CIM_PointingDevice
survol:CIM_PotsModem,rdfs:Class,The POTSModem class represents a Device that translates binary data into wave modulations for sound based transmission.  It connects to the POTS (Plain Old Telephone System) network.,CIM_PotsModem
survol:CIM_PowerSupply,rdfs:Class,Capabilities and management of the power supply logical device.,CIM_PowerSupply
survol:CIM_Printer,rdfs:Class,Capabilities and management of the Printer LogicalDevice.,CIM_Printer
survol:CIM_Process,rdfs:Class,"Each instance of the CIM_Process class represents a single instance of a running program. A user of the OperatingSystem will typically see a Process as an application or task. Within an OperatingSystem, a Process is defined by a workspace of memory resources and environmental settings that are allocated to it. On a multitasking System, this workspace prevents intrusion of resources by other Processes. Additionally, a Process can execute as multiple Threads, all which run within the same workspace.",CIM_Process
survol:CIM_ProcessExecutable.Antecedent,rdf:Property,Description not found for predicate CIM_DataFile,CIM_ProcessExecutable.Antecedent
survol:CIM_ProcessExecutable.Dependent,rdf:Property,Description not found for predicate CIM_Process,CIM_ProcessExecutable.Dependent
survol:CIM_Processor,rdfs:Class,Capabilities and management of the processor logical device.,CIM_Processor
survol:CIM_Product,rdfs:Class,"CIM_Product is a concrete class that is a collection of physical elements, software features and/or other products, acquired as a unit. Acquisition implies an agreement between supplier and consumer which may have implications to product licensing, support and warranty.",CIM_Product
survol:CIM_ProtectedSpaceExtent,rdfs:Class,"CIM_ProtectedSpaceExtent define addressable logical block addresses, treated as a single storage extent, located on a single physical extent.  Protected space extents exclude any logical blocks mapped as check data and contain user data stripe depth mapping information. An alternate possibility, if automatic configuration is used, is to instantiate or extend the CIM_AggregatePSExtent class.",CIM_ProtectedSpaceExtent
survol:CIM_Rack,rdfs:Class,"A rack is a physical frame that represents an enclosure in which chassis are placed. Typically a rack is nothing more than the enclosure, and all the functioning components are packaged in the chassis, loaded in the rack.",CIM_Rack
survol:CIM_RebootAction,rdfs:Class, The CIM_RebootAction causes a reboot of the system where the software element is installed. ,CIM_RebootAction
survol:CIM_RedundancyGroup,rdfs:Class,A class derived from CIM_LogicalElement that is a special collection of managed system elements. This collection indicates that the aggregated components together provide redundancy. All elements aggregated in a redundancy group should be instantiations of the same object class.,CIM_RedundancyGroup
survol:CIM_Refrigeration,rdfs:Class,Capabilities and management of a refrigeration cooling device.,CIM_Refrigeration
survol:CIM_RemoteFileSystem,rdfs:Class,"A class derived from FileSystem that represents access of the FileSystem via a network-related service. In this case, the file store is hosted by a computer, acting as a file server. For example, the file store for an NFS FileSystem is typically NOT on a ComputerSystem's locally controlled media, nor is it directly accessed through a device driver. Subclasses of RemoteFileSystem contain client-side configuration information related to the access of the FileSystem.",CIM_RemoteFileSystem
survol:CIM_RemoveDirectoryAction,rdfs:Class, The CIM_RemoveDirectoryAction removes directories for software elements. ,CIM_RemoveDirectoryAction
survol:CIM_RemoveFileAction,rdfs:Class,The CIM_RemoveFileAction uninstalls files.,CIM_RemoveFileAction
survol:CIM_ReplacementSet,rdfs:Class,"The CIM_ReplacementSet class aggregates physical elements that must be 'replaced' or 'FRUed' together. For example, when replacing a memory card, the component memory chips could be removed and replaced as well. Or, a set of memory chips may be specified to be replaced or upgraded together using this association.",CIM_ReplacementSet
survol:CIM_SCSIController,rdfs:Class,"Capabilities and management of the SCSI controller, logical device.",CIM_SCSIController
survol:CIM_Scanner,rdfs:Class,Capabilities and management of the scanner logical device.,CIM_Scanner
survol:CIM_Sensor,rdfs:Class,"The CIM_Sensor class represents a hardware device capable of measuring the characteristics of some physical property - for example, the temperature or voltage characteristics of a unitary computersystem.",CIM_Sensor
survol:CIM_SerialController,rdfs:Class,"Capabilities and management of the serial port, logical device.",CIM_SerialController
survol:CIM_Service,rdfs:Class,A CIM_Service is a Logical Element that contains the information necessary to represent and manage the functionality provided by a Device and/or SoftwareFeature. A Service is a general-purpose object to configure and manage the implementation of functionality.  It is not the functionality itself.,CIM_Service
survol:CIM_ServiceAccessPoint,rdfs:Class,CIM_ServiceAccessPoint represents the ability to utilize or invoke a service.  Access points represent that a service is made available to other entities for use.,CIM_ServiceAccessPoint
survol:CIM_Setting,rdfs:Class,"The Setting class represents configuration-related and operational parameters for one or more ManagedSystemElement(s). A ManagedSystemElement may have multiple Setting objects associated with it. The current operational values for an Element's parameters are reflected by properties in the Element itself or by properties in its associations. These properties do not have to be the same values present in the Setting object. For example, a modem may have a Setting baud rate of 56Kb/sec but be operating at 19.2Kb/sec.",CIM_Setting
survol:CIM_SettingCheck,rdfs:Class," This class specifies information needed to check a particular setting file for a specific entry that contains  a value that is equal to, or contains, the value specified.  All compares are assumed to be case insensitive.",CIM_SettingCheck
survol:CIM_Slot,rdfs:Class,"The Slot class represents Connectors into which Packages are inserted. For example, a PhysicalPackage that is a DiskDrive may be inserted into an SCA 'Slot'. As another example, a Card (subclass of PhysicalPackage) may be inserted into a 16-, 32-, or 64-bit expansion 'Slot' on a HostingBoard. PCI or PCMCIA Type III Slots are examples of the latter.",CIM_Slot
survol:CIM_SoftwareElement,rdfs:Class," The CIM_SoftwareElement class is used to decompose  a CIM_SoftwareFeature object into a set of individually  manageable or deployable parts for a particular platform.   A software element's platform is uniquely identified by its  underlying hardware architecture and operating system  (for example Sun Solaris on Sun Sparc or Windows NT on Intel).   As such, to understand the details of how the functionality  of a particular software feature is provided on a particular  platform, the CIM_SoftwareElement objects referenced by   CIM_SoftwareFeatureSoftwareElement associations are organized   in disjoint sets based on the TargetOperatingSystem property.    A CIM_SoftwareElement object captures the management  details of a part or component in one of  four states  characterized by the SoftwareElementState property.   ",CIM_SoftwareElement
survol:CIM_SoftwareElementVersionCheck,rdfs:Class," The CIM_SoftwareElementVersionCheck class specifies  a type of software element that must exist in the environment. This check can be for a specific,  minimum, maximum or a range of versions. To specify a specific version the lower and upper versions must be the same. To specify a minimum the lower version  needs only be specified. To specify a maximum version the upper version needs only be specified. To specify a range both upper and lower version need to be specified. The details of this checks are compared with the corresponding details found in a CIM_SoftwareElement object referenced by an CIM_InstalledSoftwareElement association for the CIM_ComputerSystem object. As long as there is at least one CIM_SoftwareElement that satisfies the details of the condition, the check is satisfied. In other words, all the software elements on the relevant computer system do not need to satisfy the condition. There needs to be at least one.",CIM_SoftwareElementVersionCheck
survol:CIM_SoftwareFeature,rdfs:Class," The CIM_SoftwareFeature class defines a particular function  or capability of a product or application system.  This  class in intended to capture the level of granularity that  is meaningful to a consumer or user of a product rather than  the units that reflect how the product is built or packaged.  The latter detailed is captured using a CIM_SoftwareElement  class.   When a software feature can exist on multiple platforms or  operating systems (for example, a client component of a  three tiered client/server applications might run on Solaris,  Windows NT, and Windows 95), a software feature is a collection  of all the software elements for these different platforms.  In this case, the users of the model must be aware of this situation  since typically they will be interested in a sub-collection of the  software elements required for a particular platform.   Software features are always defined in the context of a  CIM_Product class using the CIM_ProductSoftwareFeatures  association since features are delivered through products.  Optionally, software features from one or more products  can be organized into application systems using the  CIM_ApplicationSystemSoftwareFeature association.  ",CIM_SoftwareFeature
survol:CIM_SpareGroup,rdfs:Class,A class derived from RedundancyGroup indicating that one or more of the aggregated elements can be spared. (The actual Spares are defined using the ActsAsSpare association.) An example is the use of redundant NICs in a ComputerSystem - where one NIC is primary and the other is Spare. The 'primary' NIC would be a member of the SpareGroup (associated using the RedundancyComponent class) and the 'other' NIC would be associated using the ActsAsSpare relationship.,CIM_SpareGroup
survol:CIM_StatisticalInformation,rdfs:Class,CIM_StatisticalInformation is a root class for any arbitrary collection of statistical data and/or metrics applicable to one or more managed system elements.,CIM_StatisticalInformation
survol:CIM_StorageError,rdfs:Class,CIM_StorageError defines blocks of media or memory space that are mapped 'out of use' due to errors. The Key of the class is the StartingAddress property of the bytes in error.,CIM_StorageError
survol:CIM_StorageExtent,rdfs:Class,StorageExtent describes the capabilities and management of the various media that exist to store data and allow data retrieval. This superclass could be used to represent the various components of RAID (Hardware or Software) or as a raw logical extent on top of physical media.,CIM_StorageExtent
survol:CIM_StorageRedundancyGroup,rdfs:Class,"A class derived from redundancy group containing mass storage-related redundancy information. Storage redundancy groups are used to protect user data.  They are made up of one or more physical extents, or one or more aggregate physical extents. Storage redundancy groups may overlap.  However, the underlying extents within the overlap should not contain any check data.",CIM_StorageRedundancyGroup
survol:CIM_StorageVolume,rdfs:Class,"A StorageVolume is an Extent that is presented to the Operating System (for example, by a hardware RAID cabinet), to a File System (for example, by a software volume manager) or to another entity. StorageVolumes do NOT participate in StorageRedundancy Groups. They are directly Realized in hardware or are the end result of assembling lower level Extents.",CIM_StorageVolume
survol:CIM_SupportAccess,rdfs:Class,The CIM_SupportAccess association defines how to obtain assistance for a Product.,CIM_SupportAccess
survol:CIM_SwapSpaceCheck,rdfs:Class," The CIM_SwapSpaceCheck class specifies the amount of swap space  that needs to be available on the system. The amount is  specified in the SwapSpaceSize property.  The details of this checks are compared with the  corresponding details found in a CIM_OperatingSystem  object referenced by CIM_InstalledOS association for the  CIM_ComputerSystem object describing the environment.  When the value of TotalSwapSpaceSize property is greater  than or equal to the value specified in  SwapSpacesize, the condition is satisfied. ",CIM_SwapSpaceCheck
survol:CIM_System,rdfs:Class,"A CIM_System is a LogicalElement that aggregates an enumerable set of Managed System Elements. The aggregation operates as a functional whole. Within any particular subclass of System, there is a well-defined list of Managed System Element classes whose instances must be aggregated.",CIM_System
survol:CIM_SystemResource,rdfs:Class,"The CIM_SystemResource class is an entity managed by BIOS and/or an operating system which is available for use by software and/or logical devices. Examples of Resources in the x86 environment are IRQs, DMA channels and memory mapped I/O.",CIM_SystemResource
survol:CIM_Tachometer,rdfs:Class,"This class exists for backward compatibility to earlier CIM Schema definitions. With additions to Sensor and NumericSensor in V2.2, it is no longer necessary. A Tachometer can be defined by setting the SensorType property. inherited from Sensor, to 5 (""Tachometer""). Other properties of this class are hard-coded to constant values to correspond to definitions in the Sensor hierarchy.",CIM_Tachometer
survol:CIM_TapeDrive,rdfs:Class,The CIM_TapeDrive class represents a tape drive on the system. Tape drives are primarily distinguished by the fact that they can only be accessed sequentially.,CIM_TapeDrive
survol:CIM_TemperatureSensor,rdfs:Class,"This class exists for backward compatibility to earlier CIM Schema definitions. With additions to Sensor and NumericSensor in V2.2, it is no longer necessary. A TempertatureSensor can be defined by setting the SensorType property, inherited from Sensor, to 2 (""Temperature""). Other properties of this class are hard-coded to constant values to correspond to definitions in the sensor hierarchy.",CIM_TemperatureSensor
survol:CIM_Thread,rdfs:Class,"Threads represent the ability to execute units of a process or task in parallel.  A process can have many threads, each of which is weak to the process.",CIM_Thread
survol:CIM_USBController,rdfs:Class,Capabilities and management of a USB controller.,CIM_USBController
survol:CIM_USBDevice,rdfs:Class,The management characterisitics of a USB Device. These ,CIM_USBDevice
survol:CIM_USBHub,rdfs:Class,USB Hub Device.,CIM_USBHub
survol:CIM_UninterruptiblePowerSupply,rdfs:Class,"Capabilities and management of an uninterruptible power supply. The properties of the UPS device indicate when incoming power is trimmed or boosted, and the aggregated information of the batteries, generators, etc. that comprise the device.  These individual components (for example, multiple batteries) can also be independently modeled and associated with the UPS.",CIM_UninterruptiblePowerSupply
survol:CIM_UnitaryComputerSystem,rdfs:Class,"A class derived from CIM_ComputerSystem that represents a desktop, mobile, network PC, server or other type of a single node computer system.",CIM_UnitaryComputerSystem
survol:CIM_UserDevice,rdfs:Class,"User devices are logical devices that allow a computer system's users to input, view or hear data. The CIM_UserDevice class is a superclass from which other classes, such as CIM_Keyboard or CIM_DesktopMonitor, descend.",CIM_UserDevice
survol:CIM_VersionCompatibilityCheck,rdfs:Class, The CIM_VersionCompatibilityCheck class specifies whether it is  permissible to create the next state of a software element. ,CIM_VersionCompatibilityCheck
survol:CIM_VideoBIOSElement,rdfs:Class,"CIM_VideoBIOSElement represents the low-level software that is loaded into non-volatile storage and used to bring up, configure and access a computer system's video controller and display.",CIM_VideoBIOSElement
survol:CIM_VideoBIOSFeature,rdfs:Class,"CIM_VideoBIOSFeature represents the capabilities of the low-level software that is used to bring up, configure and use a computer system's video controller and display.",CIM_VideoBIOSFeature
survol:CIM_VideoController,rdfs:Class,Capabilities and management of the video controller.,CIM_VideoController
survol:CIM_VideoControllerResolution,rdfs:Class,"CIM_VideoControllerResolution describes the various video modes that a video controller can support.  Video modes are defined by the possible horizontal and vertical resolutions, refresh rate, scan mode and number of colors settings supported by a controller. The actual resolutions, etc. that are in use, are the values specified in the CIM_VideoController object.",CIM_VideoControllerResolution
survol:CIM_VolatileStorage,rdfs:Class,Capabilities and management of volatile storage.,CIM_VolatileStorage
survol:CIM_VoltageSensor,rdfs:Class,"This class exists for backward compatibility to earlier CIM Schema definitions. With additions to Sensor and NumericSensor in V2.2, it is no longer necessary. A VoltageSensor can be defined by setting the SensorType property, inherited from Sensor, to 3 (""Voltage""). Other properties of this class are hard-coded to constant values to correspond to definitions in the sensor hierarchy.",CIM_VoltageSensor
survol:CIM_VolumeSet,rdfs:Class,"CIM_VolumeSet represents a contiguous range of logical blocks presented to the operating environment for reading and writing user data.  Volume sets shall not overlap one another. They are based on one or more physical extents, protected space extents, or aggregate extents (all of the same type). These based on associations should be instantiated or subclassed as needed.",CIM_VolumeSet
survol:CIM_WORMDrive,rdfs:Class,"Capabilities and management  of a WORM drive, a subtype of media access device.",CIM_WORMDrive
survol:CLRExecution,rdf:Property,Total Execution time in CLR ( microseconds ).,CLRExecution
survol:CLSID,rdf:Property,This property contains the COM server CLSID that is associated with the MIME content.,CLSID
survol:CPUIDInstructionsCost,rdf:Property,The average time (in nanoseconds) spent processing a CPUID instruction.,CPUIDInstructionsCost
survol:CPUIDInstructionsCost_Base,rdf:Property,,CPUIDInstructionsCost_Base
survol:CPUIDInstructionsForwardedPersec,rdf:Property,The rate of CPUID instructions forwarded to the nested hypervisor on the virtual processor.,CPUIDInstructionsForwardedPersec
survol:CPUIDInstructionsForwardingCost,rdf:Property,The average time (in nanoseconds) spent forwarding a CPUID instruction.,CPUIDInstructionsForwardingCost
survol:CPUIDInstructionsForwardingCost_Base,rdf:Property,,CPUIDInstructionsForwardingCost_Base
survol:CPUIDInstructionsPersec,rdf:Property,The rate of CPUID instructions executed by guest code on the virtual processor.,CPUIDInstructionsPersec
survol:CPUScore,rdf:Property,"No WMI description for property CPUScore:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",CPUScore
survol:CPUTicksPersec,rdf:Property,CPU usage per second (Requires -T1904),CPUTicksPersec
survol:CPUWaitTimePerDispatch,rdf:Property,The average time (in nanoseconds) spent waiting for a virtual processor to be dispatched onto a logical processor.,CPUWaitTimePerDispatch
survol:CPUWaitTimePerDispatch_Base,rdf:Property,,CPUWaitTimePerDispatch_Base
survol:CPUcontroleffectPercent,rdf:Property,Effect of the resource governor on the resource pool calculated as (CPU usage %) / (CPU usage % without RG).,CPUcontroleffectPercent
survol:CPUdelayedPercent,rdf:Property,System CPU delayed for all requests in the specified instance of the performance object as a percentage of the total time active.,CPUdelayedPercent
survol:CPUdelayedPercent_Base,rdf:Property,,CPUdelayedPercent_Base
survol:CPUeffectivePercent,rdf:Property,System CPU usage by all requests in the specified instance of the performance object as a percentage of the total time active.,CPUeffectivePercent
survol:CPUeffectivePercent_Base,rdf:Property,,CPUeffectivePercent_Base
survol:CPUusagePercent,rdf:Property,System CPU usage by all requests in the specified instance of the performance object.,CPUusagePercent
survol:CPUusagePercent_Base,rdf:Property,,CPUusagePercent_Base
survol:CPUusagetargetPercent,rdf:Property,Target value of 'CPU usage %' for the resource pool based on the configuration settings and the system load.,CPUusagetargetPercent
survol:CPUviolatedPercent,rdf:Property,The difference between the CPU reservation and the effective scheduling percentage.,CPUviolatedPercent
survol:CRC1,rdf:Property, The CRC1 property is the CRC value calculated using the middle  512K bytes.,CRC1
survol:CRC2,rdf:Property, The CRC2 is the CRC value for the middle 512K bytes with a  offset modulo 3 to the start of the file of zero.,CRC2
survol:CRCErrors,rdf:Property,The total number of CRC Errors for this connection.  CRC Errors occur when the frame received contains erroneous data.,CRCErrors
survol:CSCreationClassName,rdf:Property,The scoping computer system's creation class name property.,CSCreationClassName
survol:CSDVersion,rdf:Property,"The CSDVersion property contains a null-terminated string, that indicates the latest Service Pack installed on the computer system. If no Service Pack is installed, the string is NULL. For computer systems running Windows 95, this property contains a null-terminated string that provides arbitrary additional information about the operating system.
Example: Service Pack 3.",CSDVersion
survol:CSName,rdf:Property,The scoping computer system's name.,CSName
survol:CTSOutflowControl,rdf:Property,"The CTSOutflowControl property determines whether the Clear To Send (CTS) is checked before transmitting data. CTS signals that both devices on the serial connection are ready to transfer data. 
Values: TRUE or FALSE. If TRUE, data transmission is suspended until CTS signal is given.",CTSOutflowControl
survol:CableManagementStrategy,rdf:Property,"CableManagementStrategy is a free-form string that contains information on how the various cables are connected and bundled for the frame. With many networking, storage-related and power cables, cable management can be a complex and challenging endeavor. This string property contains information to aid in assembly and service of the frame.",CableManagementStrategy
survol:CacheAPIEntries,rdf:Property,Total number of entries within the cache added by the user.,CacheAPIEntries
survol:CacheAPIHitRatio,rdf:Property,Ratio of hits called from user code.,CacheAPIHitRatio
survol:CacheAPIHitRatio_Base,rdf:Property,,CacheAPIHitRatio_Base
survol:CacheAPIHits,rdf:Property,Number of cache hits from user code.,CacheAPIHits
survol:CacheAPIMisses,rdf:Property,Number of cache misses called from user code.,CacheAPIMisses
survol:CacheAPITrims,rdf:Property,Total number of entries forcibly removed from the cache due to memory pressure that were originally inserted into the cache using one of the public cache APIs.,CacheAPITrims
survol:CacheAPITurnoverRate,rdf:Property,Number of additions and removals to the API cache per second.,CacheAPITurnoverRate
survol:CacheAdvances,rdf:Property,The number of log advance operations.,CacheAdvances
survol:CacheBytes,rdf:Property,"Cache Bytes the size, in bytes, of the portion of the system file cache which is currently resident and active in physical memory. The Cache Bytes and Memory\\System Cache Resident Bytes counters are equivalent.  This counter displays the last observed value only; it is not an average.",CacheBytes
survol:CacheBytesPeak,rdf:Property,Cache Bytes Peak is the maximum number of bytes used by the system file cache since the system was last restarted. This might be larger than the current size of the cache. This counter displays the last observed value only; it is not an average.,CacheBytesPeak
survol:CacheCheckpoints,rdf:Property,The number of log checkpoint operations.,CacheCheckpoints
survol:CacheDataBytes,rdf:Property,The amount of data in bytes residing in the cache.,CacheDataBytes
survol:CacheDataPercent,rdf:Property,The percentage of data in bytes residing in the cache.,CacheDataPercent
survol:CacheDataPercent_Base,rdf:Property,,CacheDataPercent_Base
survol:CacheDestagesCurrent,rdf:Property,The number of concurrent destage operations.,CacheDestagesCurrent
survol:CacheEntries,rdf:Property,The number of peer nodes referenced in the cache associated with this DRT instance.,CacheEntries
survol:CacheEntriesCount,rdf:Property,Number of entries in the catalog metadata cache,CacheEntriesCount
survol:CacheEntriesPinnedCount,rdf:Property,Number of catalog metadata cache entries that are pinned,CacheEntriesPinnedCount
survol:CacheEntry,rdf:Property,Number of Cache Entry for this PNRP Cloud,CacheEntry
survol:CacheFaultsPersec,rdf:Property,"Cache Faults/sec is the rate at which faults occur when a page sought in the file system cache is not found and must be retrieved from elsewhere in memory (a soft fault) or from disk (a hard fault). The file system cache is an area of physical memory that stores recently used pages of data for applications. Cache activity is a reliable indicator of most application I/O operations. This counter shows the number of faults, without regard for the number of pages faulted in each operation.",CacheFaultsPersec
survol:CacheHitRate,rdf:Property,Rate of cache hits for the queue,CacheHitRate
survol:CacheHitRatio,rdf:Property,Ratio between catalog metadata cache hits and lookups,CacheHitRatio
survol:CacheHitRatio_Base,rdf:Property,,CacheHitRatio_Base
survol:CacheHits,rdf:Property,The number of cache hits.,CacheHits
survol:CacheMisses,rdf:Property,The number of cache misses.,CacheMisses
survol:CacheObjectCounts,rdf:Property,Number of cache objects in the cache,CacheObjectCounts
survol:CacheObjectsinuse,rdf:Property,Number of cache objects in use,CacheObjectsinuse
survol:CachePages,rdf:Property,Number of 8k pages used by cache objects,CachePages
survol:CachePercentMachineMemoryLimitUsed,rdf:Property,"The amount of physical memory used by the machine divided by the physical memory limit for the cache, as a percentage.  When this reaches 100%, half of the cache entries will be forcibly removed.  The __Total__ instance is the average of all instances, and therefore cannot be used to determine when cache entries will be forcibly removed.",CachePercentMachineMemoryLimitUsed
survol:CachePercentMachineMemoryLimitUsed_Base,rdf:Property,,CachePercentMachineMemoryLimitUsed_Base
survol:CachePercentProcessMemoryLimitUsed,rdf:Property,"The value of private bytes for the worker process divided by the private bytes memory limit for the cache, as a percentage.  When this reaches 100%, half of the cache entries will be forcibly removed.  The __Total__ instance is the average of all instances, and therefore cannot be used to determine when cache entries will be forcibly removed.",CachePercentProcessMemoryLimitUsed
survol:CachePercentProcessMemoryLimitUsed_Base,rdf:Property,,CachePercentProcessMemoryLimitUsed_Base
survol:CacheReclaimableBytes,rdf:Property,The amount of reclaimable space in bytes in the cache.,CacheReclaimableBytes
survol:CacheReclaimablePercent,rdf:Property,The percentage of reclaimable space in bytes in the cache.,CacheReclaimablePercent
survol:CacheReclaimablePercent_Base,rdf:Property,,CacheReclaimablePercent_Base
survol:CacheRefreshInterval,rdf:Property,"No WMI description for property CacheRefreshInterval:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",CacheRefreshInterval
survol:CacheSize,rdf:Property,The size in bytes of the cache.,CacheSize
survol:CacheSpeed,rdf:Property,The CacheSpeed property specifies the speed of the cache in nanoseconds.,CacheSpeed
survol:CacheTotalEntries,rdf:Property,Total number of entries within the cache (both internal and user added),CacheTotalEntries
survol:CacheTotalHitRatio,rdf:Property,Ratio of hits from all cache calls.,CacheTotalHitRatio
survol:CacheTotalHitRatio_Base,rdf:Property,,CacheTotalHitRatio_Base
survol:CacheTotalHits,rdf:Property,Total number of hits from the cache.,CacheTotalHits
survol:CacheTotalMisses,rdf:Property,Total number of cache misses.,CacheTotalMisses
survol:CacheTotalTrims,rdf:Property,Total number of entries forcibly removed from the cache due to memory pressure.,CacheTotalTrims
survol:CacheTotalTurnoverRate,rdf:Property,Number of additions and removals to the total cache per second.,CacheTotalTurnoverRate
survol:CacheTrims,rdf:Property,Total number of entries removed from the cache due to memory pressure or Trim invocations.,CacheTrims
survol:CacheTurnoverRate,rdf:Property,The number of entries added to the cache or removed from the cache per second.,CacheTurnoverRate
survol:CacheType,rdf:Property,"Defines whether this is for instruction caching (value=3), data caching (value=4) or both (value=5, ""Unified""). Also, ""Other"" (1) and ""Unknown"" (2) can be defined.",CacheType
survol:CacheUsedBytes,rdf:Property,The amount of used space in bytes in the cache.,CacheUsedBytes
survol:CacheUsedPercent,rdf:Property,The percentage of used space in bytes in the cache.,CacheUsedPercent
survol:CacheUsedPercent_Base,rdf:Property,,CacheUsedPercent_Base
survol:Cacheable,rdf:Property,Indicates whether this memory can be cached or not.,Cacheable
survol:CachedCursorCounts,rdf:Property,Number of cursors of a given type in the cache,CachedCursorCounts
survol:CachememorytargetKB,rdf:Property,Current memory target for cache memory in kilobytes.,CachememorytargetKB
survol:CachereadbytesPersec,rdf:Property,Bytes of I/Os satisfied from ReadyBoost caches per second.,CachereadbytesPersec
survol:CachereadsPersec,rdf:Property,Number of I/Os satisfied from ReadyBoost caches per second.,CachereadsPersec
survol:Cachespaceused,rdf:Property,Amount of space in bytes taken by data cached in ReadyBoost caches.,Cachespaceused
survol:CallFailedPerSecond,rdf:Property,The number of calls with unhandled exceptions in this operation per second. http://go.microsoft.com/fwlink/?LinkId=222619,CallFailedPerSecond
survol:Calls,rdf:Property,The number of calls to this endpoint. http://go.microsoft.com/fwlink/?LinkId=222641,Calls
survol:CallsDuration,rdf:Property,The average duration of calls to this endpoint. http://go.microsoft.com/fwlink/?LinkId=222648,CallsDuration
survol:CallsDuration_Base,rdf:Property,,CallsDuration_Base
survol:CallsFailed,rdf:Property,The number of calls with unhandled exceptions at this endpoint. http://go.microsoft.com/fwlink/?LinkId=222644,CallsFailed
survol:CallsFailedPerSecond,rdf:Property,The number of calls with unhandled exceptions at this endpoint per second. http://go.microsoft.com/fwlink/?LinkId=222645,CallsFailedPerSecond
survol:CallsFaulted,rdf:Property,The number of calls to this endpoint that returned faults. http://go.microsoft.com/fwlink/?LinkId=222646,CallsFaulted
